gene,ctrl_mean,pert_mean,delta,abs_delta
CSF1,0.34259745,0.34684348,0.0042460263,0.0042460263
RAP1GAP2,4.034996,4.0392413,0.004245281,0.004245281
PIK3R5,0.40753353,0.40328896,-0.004244566,0.004244566
RAB11FIP3,1.7303017,1.7260578,-0.00424397,0.00424397
DCLK2,0.03803437,0.042278137,0.0042437688,0.0042437688
CTNNB1,3.151928,3.1476867,-0.004241228,0.004241228
ZNF229,1.4657115,1.4614712,-0.0042402744,0.0042402744
CCDC120,0.66730404,0.6630638,-0.004240215,0.004240215
LYPD6B,0.40976006,0.40552276,-0.004237294,0.004237294
ERCC6,1.161777,1.1660104,0.0042333603,0.0042333603
SPINK2,0.043901928,0.048132956,0.0042310283,0.0042310283
TBX22,0.07790235,0.082131326,0.0042289793,0.0042289793
TMPRSS3,0.026377829,0.030606728,0.0042288993,0.0042288993
LRCH1,1.453924,1.4496961,-0.0042278767,0.0042278767
LCAT,0.13285834,0.13708581,0.0042274743,0.0042274743
LIX1,0.01770746,0.021933729,0.004226269,0.004226269
PCDHA12,1.9359283,1.9401519,0.004223585,0.004223585
PLXDC1,0.07017498,0.07439772,0.004222743,0.004222743
LRRC8E,0.26110646,0.2568857,-0.004220754,0.004220754
ASIC2,0.036777034,0.040994663,0.0042176284,0.0042176284
WDR1,0.28908214,0.2848654,-0.0042167306,0.0042167306
MYT1,0.19093147,0.18671525,-0.004216224,0.004216224
IRAK4,0.0010215843,0.005232199,0.0042106146,0.0042106146
SORCS2,0.10598282,0.11018749,0.0042046756,0.0042046756
MDGA2,0.03106664,0.03526546,0.0041988213,0.0041988213
MICAL2,0.17508382,0.17928202,0.0041982085,0.0041982085
ZNF233,0.16091262,0.15671475,-0.0041978657,0.0041978657
CR1L,0.0032743085,0.0074714497,0.004197141,0.004197141
CTSZ,2.129322,2.125125,-0.0041971207,0.0041971207
NBPF1,0.04515926,0.049356353,0.004197091,0.004197091
PIK3IP1,0.07795474,0.08214772,0.004192978,0.004192978
UBC,0.26210186,0.2579125,-0.004189372,0.004189372
PTGS2,0.040418062,0.04460477,0.0041867085,0.0041867085
ZNF684,0.29673094,0.2925444,-0.004186541,0.004186541
FAM13C,0.0407324,0.044916082,0.0041836835,0.0041836835
ZFP28,0.70861274,0.70442986,-0.004182875,0.004182875
FHL1,0.13676132,0.13258,-0.0041813254,0.0041813254
ODF2,0.6604411,0.6646204,0.004179299,0.004179299
IQCC,0.5023837,0.49820587,-0.0041778386,0.0041778386
TYRO3,3.2416701,3.245848,0.0041778088,0.0041778088
SPARCL1,0.13888307,0.14306079,0.0041777194,0.0041777194
SLC39A13,0.435614,0.43143797,-0.0041760206,0.0041760206
HIPK2,4.0978365,4.093661,-0.004175663,0.004175663
CSPG4,0.25353625,0.2577104,0.004174143,0.004174143
CAMK1,0.39619133,0.40036157,0.004170239,0.004170239
SSBP4,0.47621542,0.4803847,0.0041692853,0.0041692853
PAQR9,0.1131601,0.10899141,-0.0041686967,0.0041686967
GLB1L,0.11418168,0.11834711,0.004165426,0.004165426
APCDD1L,0.29429483,0.29013583,-0.0041590035,0.0041590035
LRRC3,0.09964375,0.095484905,-0.004158847,0.004158847
FTO,0.7963642,0.8005156,0.004151404,0.004151404
NSMCE3,2.980747,2.976597,-0.004149914,0.004149914
GPR158,0.08445097,0.080301695,-0.004149273,0.004149273
LRRIQ1,0.08662511,0.090771556,0.0041464493,0.0041464493
RTL8B,0.31572193,0.311578,-0.0041439235,0.0041439235
PTPN21,0.83350796,0.83764887,0.0041409135,0.0041409135
WDR11,4.825702,4.829828,0.004125595,0.004125595
GAB1,0.5001048,0.50423,0.0041252375,0.0041252375
IRAK3,0.21479464,0.21066976,-0.00412488,0.00412488
ARPC5,0.45478836,0.45890975,0.004121393,0.004121393
VSTM2L,0.10579945,0.109919876,0.0041204244,0.0041204244
TMEM192,1.1887835,1.1928978,0.00411427,0.00411427
VPS35L,5.30307,5.2989564,-0.004113674,0.004113674
ZNF781,0.096867144,0.09275411,-0.0041130334,0.0041130334
RASEF,0.036488894,0.04060143,0.004112534,0.004112534
ADAMTS17,0.17927493,0.17516398,-0.0041109473,0.0041109473
CDK20,0.4143703,0.41847762,0.0041073263,0.0041073263
PRR3,0.70769596,0.7035888,-0.0041071773,0.0041071773
PROSER3,0.99423724,0.9901309,-0.004106343,0.004106343
DLGAP1,1.9243766,1.9202718,-0.0041048527,0.0041048527
AC091057.6,2.0048199,2.0007155,-0.004104376,0.004104376
DVL1,2.649125,2.6450243,-0.0041007996,0.0041007996
GPR141,0.046992876,0.051087674,0.004094798,0.004094798
C2orf50,0.119211026,0.11511931,-0.0040917173,0.0040917173
ZNF816,0.17487426,0.17078379,-0.004090473,0.004090473
GSAP,0.080809936,0.08490036,0.004090421,0.004090421
C3orf67,0.47975168,0.4838419,0.0040902197,0.0040902197
ZNF2,0.25348386,0.24939786,-0.0040860027,0.0040860027
CLDN11,0.16560143,0.16968602,0.004084587,0.004084587
ZBTB5,1.7496071,1.7455229,-0.0040842295,0.0040842295
SPAG1,0.039946564,0.044025846,0.0040792823,0.0040792823
EXOC8,0.83395326,0.83803123,0.004077971,0.004077971
RBFOX1,0.26409262,0.2600152,-0.0040774345,0.0040774345
ATP5PO,0.28287405,0.27879757,-0.004076481,0.004076481
PHACTR2,4.8203583,4.816283,-0.0040750504,0.0040750504
ATP7B,0.13862112,0.13454618,-0.004074946,0.004074946
LY6G6D,0.059356663,0.05528217,-0.0040744916,0.0040744916
ST6GALNAC3,1.9151824,1.919256,0.00407362,0.00407362
ZNF28,0.36724645,0.3631736,-0.004072845,0.004072845
GPNMB,0.073030174,0.07710121,0.0040710345,0.0040710345
RNF115,4.8500104,4.8459396,-0.004070759,0.004070759
C4orf46,0.80236274,0.7982927,-0.0040700436,0.0040700436
ARMC5,0.10475168,0.10068434,-0.004067339,0.004067339
MIR1915HG,0.14943944,0.14537649,-0.0040629506,0.0040629506
AMFR,1.3332722,1.3373349,0.0040626526,0.0040626526
AP3B2,0.572873,0.57693464,0.0040616393,0.0040616393
WDR31,0.07316115,0.077221364,0.0040602162,0.0040602162
ZNF180,0.75411254,0.75816095,0.004048407,0.004048407
CNTN4,0.04790968,0.05195607,0.004046388,0.004046388
SHARPIN,3.5415444,3.5455906,0.0040462017,0.0040462017
NEGR1,0.20452641,0.2085725,0.0040460974,0.0040460974
ANKDD1A,0.37227577,0.36823106,-0.0040447116,0.0040447116
KCNMB3,0.28358132,0.2876235,0.0040421784,0.0040421784
PLA2R1,0.15352577,0.1494836,-0.0040421635,0.0040421635
CNTRL,2.9019542,2.9059951,0.0040409565,0.0040409565
PDE4C,0.12570725,0.12166775,-0.0040395036,0.0040395036
DHX58,0.13985227,0.13581325,-0.0040390193,0.0040390193
TRIM32,1.4996856,1.5037221,0.0040364265,0.0040364265
PROB1,0.3011054,0.3051388,0.0040333867,0.0040333867
TLE3,0.13228206,0.12824896,-0.0040331036,0.0040331036
GCA,5.1493087,5.1533394,0.0040307045,0.0040307045
CREB3L1,0.7731297,0.76910055,-0.004029155,0.004029155
MYORG,0.19457251,0.19859965,0.004027143,0.004027143
TGFB2,0.038610645,0.042627677,0.0040170327,0.0040170327
ANAPC1,0.08785625,0.0838408,-0.0040154457,0.0040154457
KSR1,3.4922464,3.4962616,0.0040152073,0.0040152073
CLDN1,0.15850273,0.16251495,0.004012227,0.004012227
MAP3K11,1.815067,1.8110564,-0.0040106773,0.0040106773
ELMSAN1,1.4387573,1.4347477,-0.0040096045,0.0040096045
ART5,0.35909995,0.35509047,-0.0040094852,0.0040094852
SEMA3E,0.21819991,0.21419248,-0.004007429,0.004007429
WDR47,0.33429378,0.33028942,-0.0040043592,0.0040043592
RRH,0.04777871,0.051781297,0.004002586,0.004002586
BRDT,0.01624057,0.020240638,0.0040000677,0.0040000677
PTPRN,0.24510163,0.24110171,-0.0039999187,0.0039999187
TRABD2B,0.22597967,0.2219807,-0.003998965,0.003998965
THAP3,0.98986274,0.9938612,0.0039984584,0.0039984584
C3,0.34621227,0.3502078,0.0039955378,0.0039955378
FAM167A,0.018414712,0.022408888,0.003994176,0.003994176
LCA5L,0.12709555,0.13108899,0.0039934367,0.0039934367
TMEM86B,0.2286777,0.23266903,0.0039913207,0.0039913207
CALCOCO1,0.25589377,0.25988412,0.003990352,0.003990352
NCAM2,0.05094824,0.054938093,0.003989853,0.003989853
MDM1,1.6194992,1.6155099,-0.003989339,0.003989339
KLC2,3.5161097,3.5200958,0.00398612,0.00398612
CA5B,0.32232293,0.31833947,-0.003983468,0.003983468
EFCAB7,0.4038663,0.4078494,0.00398311,0.00398311
CYLD,1.5929117,1.5968858,0.00397408,0.00397408
SAYSD1,0.1396427,0.13567126,-0.0039714426,0.0039714426
ETFDH,1.1846186,1.1806474,-0.003971219,0.003971219
UIMC1,1.7473805,1.7434093,-0.003971219,0.003971219
S100Z,0.020615047,0.024582598,0.0039675515,0.0039675515
TNS4,0.0667697,0.06280278,-0.00396692,0.00396692
GUCY1B1,0.3806056,0.38457212,0.0039665103,0.0039665103
EVA1A,0.19823973,0.2022043,0.003964573,0.003964573
NEIL2,0.9166754,0.91271293,-0.003962457,0.003962457
TRPV1,0.7258749,0.72191244,-0.003962457,0.003962457
KLF2,0.042304065,0.046265095,0.0039610304,0.0039610304
PAPOLG,2.4542382,2.4502804,-0.0039577484,0.0039577484
MT1H,0.03627934,0.040235505,0.003956165,0.003956165
PPM1M,0.2248533,0.2208993,-0.003954008,0.003954008
CNNM2,1.780176,1.7762225,-0.003953576,0.003953576
TBC1D31,1.9770274,1.9730744,-0.00395298,0.00395298
PAH,0.14970139,0.15365079,0.0039494038,0.0039494038
GSDME,0.49022946,0.49417523,0.003945768,0.003945768
MERTK,0.7191953,0.7231358,0.0039405227,0.0039405227
ZNF555,0.5892708,0.59321016,0.00393939,0.00393939
DPP3,0.120232604,0.11629355,-0.003939055,0.003939055
ZNF449,1.0114208,1.0074824,-0.0039384365,0.0039384365
CD7,0.049402766,0.045467705,-0.0039350614,0.0039350614
CDC25B,3.3925765,3.396511,0.003934622,0.003934622
PROS1,0.07963118,0.08356226,0.003931083,0.003931083
SKIDA1,0.14925608,0.15318656,0.0039304793,0.0039304793
RAB40C,1.0734231,1.0694932,-0.0039299726,0.0039299726
RAMP3,0.13796626,0.13403824,-0.0039280206,0.0039280206
TENM2,0.036803227,0.040727045,0.0039238185,0.0039238185
TMEM238,0.6547831,0.65086263,-0.0039204955,0.0039204955
ARHGAP36,0.07392079,0.077838525,0.003917739,0.003917739
TRIM35,1.1879452,1.1840281,-0.003917098,0.003917098
IL6,0.035467308,0.039383497,0.003916189,0.003916189
EFNA3,1.128641,1.1247371,-0.0039038658,0.0039038658
PAOX,0.31231663,0.3162149,0.003898263,0.003898263
SLC46A1,0.362741,0.36663628,0.0038952827,0.0038952827
NUDT13,0.33638936,0.3324959,-0.0038934648,0.0038934648
ERCC4,0.9148418,0.9109488,-0.0038929582,0.0038929582
CLEC4C,0.034026615,0.03791433,0.003887713,0.003887713
CSMD2,2.1743765,2.1704888,-0.0038876534,0.0038876534
MOXD1,0.29329947,0.29718673,0.003887266,0.003887266
IL21R,0.17584346,0.17195803,-0.003885433,0.003885433
SGCG,0.006234283,0.010114857,0.003880574,0.003880574
PKNOX2,0.14255029,0.14643058,0.0038802922,0.0038802922
LTN1,3.712018,3.7081382,-0.0038797855,0.0038797855
HEXB,3.060902,3.0570245,-0.0038776398,0.0038776398
FAM3B,0.2054432,0.20932074,0.0038775355,0.0038775355
ESRRB,0.0733969,0.077270515,0.0038736165,0.0038736165
LRRTM3,0.1202588,0.124125466,0.003866665,0.003866665
COL7A1,0.30236274,0.30622566,0.0038629174,0.0038629174
ARSD,0.05946144,0.06332163,0.0038601868,0.0038601868
DHRS1,0.28866303,0.29252255,0.00385952,0.00385952
ZNF404,0.35365152,0.34979272,-0.0038588047,0.0038588047
FN3K,0.9820306,0.9858873,0.0038567185,0.0038567185
EGFR,0.2726844,0.2765365,0.0038520992,0.0038520992
BEX5,1.2117299,1.2078788,-0.003851056,0.003851056
DOP1A,0.4114365,0.40758723,-0.003849268,0.003849268
OR2AG2,0.20942476,0.20557955,-0.0038452148,0.0038452148
PARP14,1.0741303,1.0702852,-0.0038450956,0.0038450956
RSBN1,1.1938128,1.1899704,-0.003842473,0.003842473
CD4,0.13626362,0.13242161,-0.003842011,0.003842011
ANKRD26,2.1274884,2.1313293,0.0038409233,0.0038409233
TMEM256,1.1574287,1.1535907,-0.0038380623,0.0038380623
B3GALT6,0.17990361,0.1760706,-0.0038330108,0.0038330108
PLSCR4,0.099277034,0.10310928,0.0038322434,0.0038322434
TTPA,0.100272425,0.09644069,-0.0038317367,0.0038317367
IFT140,0.7385792,0.74240977,0.003830552,0.003830552
PIDD1,0.32310876,0.326936,0.003827244,0.003827244
ZSWIM9,1.1122433,1.1160642,0.0038208961,0.0038208961
APOBEC3G,0.1552808,0.15910146,0.0038206577,0.0038206577
TMEM44,1.4862741,1.4824547,-0.0038194656,0.0038194656
BCL2,0.124371335,0.12818888,0.0038175434,0.0038175434
STRIT1,0.016554903,0.020371716,0.0038168132,0.0038168132
TCF24,0.17065696,0.16684052,-0.0038164407,0.0038164407
CPD,4.450754,4.446938,-0.0038161278,0.0038161278
MAGEL2,0.4772632,0.48107833,0.0038151145,0.0038151145
MED27,0.094116725,0.090301864,-0.0038148612,0.0038148612
FAM3A,1.2025619,1.1987472,-0.0038146973,0.0038146973
ADAMTSL3,0.09086861,0.08705768,-0.0038109273,0.0038109273
ZNF222,0.194101,0.19029258,-0.0038084239,0.0038084239
TBC1D24,1.6925031,1.6886951,-0.0038080215,0.0038080215
NADK2,1.8213799,1.8175721,-0.0038077831,0.0038077831
STS,0.4677022,0.4638962,-0.0038060248,0.0038060248
LHPP,2.09375,2.097555,0.003804922,0.003804922
RC3H2,4.699261,4.7030644,0.0038032532,0.0038032532
CLDN34,0.071013205,0.06721028,-0.0038029253,0.0038029253
DNAAF3,0.50814646,0.5119472,0.0038007498,0.0038007498
CCNB3,0.026823135,0.030623112,0.0037999768,0.0037999768
TIPRL,4.2406225,4.2444224,0.0037999153,0.0037999153
OTUB2,0.49562553,0.4994238,0.0037982762,0.0037982762
CCDC65,0.05440591,0.058204122,0.0037982129,0.0037982129
KRBOX4,0.3925241,0.38873383,-0.0037902594,0.0037902594
OLIG1,0.023758382,0.027548239,0.003789857,0.003789857
UQCRC2,5.095505,5.0917163,-0.003788948,0.003788948
LINC00672,0.3310457,0.32725823,-0.003787458,0.003787458
DHDH,0.15795264,0.16173941,0.0037867725,0.0037867725
TSEN34,0.35239416,0.34860757,-0.0037865937,0.0037865937
ARHGEF35,0.19197926,0.18819533,-0.0037839264,0.0037839264
DUSP12,1.3867351,1.3829554,-0.0037796497,0.0037796497
TMEM101,1.3679799,1.3642004,-0.0037795305,0.0037795305
SERPINB8,0.08101949,0.084796585,0.0037770942,0.0037770942
ANAPC16,4.980014,4.976237,-0.0037770271,0.0037770271
NPTXR,0.21385163,0.21762781,0.0037761778,0.0037761778
GDA,0.22372694,0.22750236,0.0037754178,0.0037754178
AHR,1.4668902,1.4706631,0.0037728548,0.0037728548
FAM83E,0.28565067,0.2818779,-0.0037727654,0.0037727654
GJA3,0.036331728,0.040104426,0.0037726983,0.0037726983
ZFPL1,0.3986274,0.39485627,-0.0037711263,0.0037711263
TRPM2,0.013385373,0.01715484,0.0037694676,0.0037694676
C22orf42,0.059199497,0.06296662,0.0037671253,0.0037671253
SPICE1,1.787982,1.7917442,0.0037622452,0.0037622452
GGNBP2,2.455129,2.4588878,0.0037589073,0.0037589073
GAD1,0.010137259,0.013894275,0.0037570158,0.0037570158
ITGB4,0.39228836,0.39604145,0.0037530959,0.0037530959
PCDH19,0.043063704,0.046816714,0.0037530102,0.0037530102
IRF2BP2,0.21204421,0.20829396,-0.0037502497,0.0037502497
IL17D,0.0610855,0.05733573,-0.0037497692,0.0037497692
NGF,0.01969824,0.023441127,0.0037428867,0.0037428867
IL1A,0.09867456,0.10241566,0.0037411004,0.0037411004
CITED4,1.771689,1.7679482,-0.0037409067,0.0037409067
TTC29,0.025932522,0.029672796,0.0037402734,0.0037402734
GFPT1,6.962411,6.958672,-0.0037388802,0.0037388802
XYLB,0.64899415,0.6452645,-0.0037296414,0.0037296414
SMIM10L2A,0.14420055,0.14792706,0.0037265122,0.0037265122
ZFP37,0.5469405,0.5432148,-0.0037257075,0.0037257075
SCUBE3,0.11436505,0.11809041,0.0037253648,0.0037253648
MYO15B,0.11525566,0.118975185,0.0037195235,0.0037195235
FAM102B,2.391581,2.3952987,0.003717661,0.003717661
CDC42SE2,4.7710605,4.774775,0.0037145615,0.0037145615
ZNF672,0.367456,0.36374164,-0.0037143528,0.0037143528
MGAT3,0.85663766,0.85292494,-0.0037127137,0.0037127137
ELFN2,0.117979884,0.114267305,-0.0037125796,0.0037125796
SLC35D1,0.38194153,0.3856535,0.0037119687,0.0037119687
LIPT2,0.12541911,0.12912828,0.0037091672,0.0037091672
SERPINA5,0.14351949,0.13981114,-0.0037083477,0.0037083477
CCDC173,0.111326486,0.10762055,-0.0037059337,0.0037059337
RHBDL2,0.300241,0.2965368,-0.0037041903,0.0037041903
UCP1,0.020326907,0.024030978,0.003704071,0.003704071
TMEM132C,0.06616723,0.06987007,0.0037028417,0.0037028417
CCDC28A,0.91937345,0.91567314,-0.003700316,0.003700316
LIF,0.14551027,0.14921053,0.0037002563,0.0037002563
RDM1,0.5715633,0.5752634,0.0037000775,0.0037000775
SP140,0.079840735,0.08354042,0.0036996827,0.0036996827
KALRN,0.48999372,0.48629415,-0.003699571,0.003699571
TSGA10,0.5110279,0.5147272,0.0036993027,0.0036993027
KIAA0319L,5.948842,5.952539,0.0036969185,0.0036969185
RSPH9,0.10951907,0.10582369,-0.0036953837,0.0036953837
TTC33,1.5865989,1.5902936,0.0036947727,0.0036947727
APOBEC3H,0.109257124,0.112951055,0.0036939308,0.0036939308
NKD2,0.6432837,0.6395954,-0.0036883354,0.0036883354
NAALADL1,0.1936295,0.18994303,-0.0036864728,0.0036864728
TIGD3,0.09668378,0.10036757,0.0036837906,0.0036837906
AP4B1,1.0744709,1.0781498,0.003678918,0.003678918
ZNF226,0.589035,0.5853564,-0.0036785603,0.0036785603
RFTN2,0.24214166,0.23846376,-0.0036779046,0.0036779046
EPSTI1,0.11135268,0.107675165,-0.0036775172,0.0036775172
RUSC2,0.29426864,0.2979459,0.003677249,0.003677249
C12orf76,0.5828269,0.5865033,0.0036764145,0.0036764145
PLEKHD1,0.09340947,0.09708515,0.0036756769,0.0036756769
ABCA7,0.74648994,0.7501652,0.003675282,0.003675282
RBM24,0.02163663,0.025308989,0.0036723595,0.0036723595
CTNNA2,0.92107606,0.9174044,-0.0036716461,0.0036716461
ZCWPW2,0.12754086,0.13120914,0.0036682785,0.0036682785
MAGI3,0.5119185,0.51558465,0.0036661625,0.0036661625
C1orf210,0.49709243,0.50075644,0.0036640167,0.0036640167
LETM2,0.13073659,0.12707472,-0.003661871,0.003661871
PLEKHN1,0.09034472,0.09400482,0.0036600977,0.0036600977
STARD9,0.18875733,0.19241713,0.0036597997,0.0036597997
TICAM1,0.12193525,0.12559463,0.0036593825,0.0036593825
PLPP6,0.36501992,0.3686789,0.0036589801,0.0036589801
IKZF4,0.9530595,0.9494039,-0.0036556125,0.0036556125
MGAT5B,0.25183362,0.25548753,0.0036539137,0.0036539137
KIAA0556,1.1860594,1.1824061,-0.003653288,0.003653288
FBXO34,1.0933309,1.0896792,-0.003651619,0.003651619
TNFSF11,0.35999057,0.35634118,-0.0036493838,0.0036493838
TMEM231,0.64640087,0.64275223,-0.0036486387,0.0036486387
SLC36A4,4.8131022,4.816747,0.0036449432,0.0036449432
CDH4,1.9709504,1.9745927,0.0036423206,0.0036423206
KLHL42,0.82258487,0.81894296,-0.0036419034,0.0036419034
LRCH3,3.3505607,3.34692,-0.0036406517,0.0036406517
PCCA,4.2896585,4.2932982,0.003639698,0.003639698
GRHL1,0.23800294,0.24164242,0.0036394745,0.0036394745
SLC25A28,0.6172202,0.6135819,-0.0036383271,0.0036383271
VAMP2,1.4060929,1.4024588,-0.0036340952,0.0036340952
ABHD5,1.4006182,1.4042503,0.0036320686,0.0036320686
UBE3D,0.47886106,0.4824929,0.0036318302,0.0036318302
NPW,0.07122276,0.06759259,-0.0036301687,0.0036301687
TAOK3,1.0033005,1.0069307,0.0036301613,0.0036301613
PHLDB3,0.07803332,0.07440318,-0.003630139,0.003630139
RASAL2,3.357109,3.3607378,0.0036287308,0.0036287308
FBXO38,2.9505186,2.9541445,0.0036258698,0.0036258698
VSTM2B,0.1216995,0.11807403,-0.0036254674,0.0036254674
CCSAP,0.69205785,0.68843293,-0.003624916,0.003624916
DNAJC27,0.44043377,0.4368122,-0.0036215782,0.0036215782
FAM241B,1.9803542,1.9767337,-0.0036205053,0.0036205053
PPP1R12C,0.3072873,0.31090623,0.0036189258,0.0036189258
ZNF844,1.3604883,1.3568709,-0.003617406,0.003617406
BAD,0.21152033,0.21513733,0.0036170036,0.0036170036
PPP1R3D,0.13296312,0.12934674,-0.0036163777,0.0036163777
FAM227A,0.93687135,0.94047415,0.0036028028,0.0036028028
OSCP1,0.17327641,0.17687893,0.0036025196,0.0036025196
PRELID3B,1.9449393,1.9485409,0.0036016703,0.0036016703
EFCAB13,0.097705364,0.10130696,0.0036015958,0.0036015958
FAIM2,0.036803227,0.04040481,0.0036015846,0.0036015846
PTPRN2,0.6079998,0.60440093,-0.0035988688,0.0035988688
ZSCAN22,0.25481978,0.25122204,-0.0035977364,0.0035977364
AQP11,0.14231454,0.14591172,0.003597185,0.003597185
SCT,0.11054065,0.11413623,0.0035955757,0.0035955757
XK,0.078242876,0.0818364,0.0035935268,0.0035935268
MINDY1,0.18532586,0.18173428,-0.0035915822,0.0035915822
CD109,0.34529546,0.34170413,-0.0035913289,0.0035913289
MAP7D2,0.14367665,0.14726621,0.0035895556,0.0035895556
TMEM176A,0.044582985,0.040994663,-0.0035883226,0.0035883226
ABCG1,0.5168954,0.51330715,-0.0035882592,0.0035882592
BRINP3,0.0013621124,0.004948197,0.0035860846,0.0035860846
FBLN5,0.14084765,0.14443164,0.0035839826,0.0035839826
HID1,0.34917226,0.35275292,0.0035806596,0.0035806596
ARHGEF33,0.25125733,0.24767746,-0.0035798699,0.0035798699
SSH2,0.22267917,0.2262462,0.003567025,0.003567025
CNKSR3,0.24706621,0.2506267,0.0035604984,0.0035604984
SUGCT,0.26579526,0.2693545,0.0035592318,0.0035592318
BGLAP,0.42175713,0.42531553,0.0035583973,0.0035583973
CHST3,0.37908635,0.38264418,0.003557831,0.003557831
NSG2,0.07232293,0.068766825,-0.0035561025,0.0035561025
OSGEP,1.6762364,1.6726817,-0.0035547018,0.0035547018
RLN1,0.23129715,0.22774267,-0.0035544783,0.0035544783
CAMTA2,0.33644176,0.33999464,0.0035528839,0.0035528839
IRF8,0.09123533,0.094785824,0.0035504922,0.0035504922
ZNF148,2.1323345,2.1287842,-0.003550291,0.003550291
SLC13A4,0.13262258,0.12907366,-0.0035489202,0.0035489202
DLG1,4.3540707,4.3505244,-0.003546238,0.003546238
SLCO2A1,0.17060457,0.16705899,-0.0035455823,0.0035455823
TAC4,0.0057889773,0.009333851,0.0035448736,0.0035448736
GFY,0.07334451,0.0768882,0.0035436973,0.0035436973
ERP29,1.1945724,1.1981136,0.003541112,0.003541112
CAP1,0.07321354,0.06967345,-0.0035400912,0.0035400912
EDN3,0.044635374,0.041098434,-0.0035369396,0.0035369396
MLYCD,0.9778657,0.97433054,-0.0035351515,0.0035351515
FLRT3,0.04151823,0.04505262,0.0035343915,0.0035343915
TMEM225,0.0035362532,5.4615857e-06,-0.0035307917,0.0035307917
TMEM30A,3.7961023,3.7996309,0.003528595,0.003528595
PLPP7,0.1912982,0.1948257,0.0035274923,0.0035274923
SCN4B,0.055846605,0.059372902,0.0035262965,0.0035262965
KCNS1,0.12945306,0.1329787,0.0035256296,0.0035256296
LRIT3,0.060194887,0.06372032,0.003525436,0.003525436
C10orf105,0.10760687,0.104081444,-0.0035254285,0.0035254285
DES,0.15473072,0.15825492,0.0035241991,0.0035241991
FLVCR2,0.2433728,0.24689646,0.0035236627,0.0035236627
COL22A1,0.05364627,0.05716642,0.0035201497,0.0035201497
HTR1F,0.02561819,0.029137561,0.0035193712,0.0035193712
ANPEP,0.084319994,0.08783869,0.0035186931,0.0035186931
MCOLN2,0.29421628,0.2977329,0.0035166144,0.0035166144
HCK,0.08819677,0.09171095,0.003514178,0.003514178
FAM160A2,2.0018075,2.0053196,0.003512144,0.003512144
PPFIA4,0.31697926,0.3134677,-0.003511548,0.003511548
S100A1,0.058623217,0.062131003,0.0035077855,0.0035077855
FAT2,0.061949916,0.058444433,-0.0035054833,0.0035054833
ESYT3,1.0410205,1.0375156,-0.0035048723,0.0035048723
C2orf72,0.10836651,0.11186966,0.0035031512,0.0035031512
SHROOM4,0.39281225,0.39631453,0.0035022795,0.0035022795
SMIM3,0.5955312,0.5990322,0.003500998,0.003500998
ROBO3,0.25233132,0.24883531,-0.0034960061,0.0034960061
ZNF875,0.4138726,0.4103781,-0.003494501,0.003494501
TCTN1,1.5805218,1.5770274,-0.003494382,0.003494382
EEF1AKMT3,0.14152871,0.1450215,0.0034927875,0.0034927875
HIVEP3,0.040129926,0.043621685,0.0034917593,0.0034917593
FMNL1,0.4947873,0.49129698,-0.0034903288,0.0034903288
KCNE5,0.31449077,0.31797352,0.003482759,0.003482759
MAN1C1,0.5375367,0.54101926,0.0034825802,0.0034825802
WNT5B,0.022029547,0.025511067,0.0034815203,0.0034815203
PCDHGA8,0.35210603,0.35558748,0.0034814477,0.0034814477
PIM3,0.15742876,0.16090925,0.003480494,0.003480494
SLC13A5,0.116801135,0.120280504,0.003479369,0.003479369
AP1AR,4.333613,4.337089,0.0034761429,0.0034761429
ZNF728,0.00018336128,0.0036592626,0.0034759012,0.0034759012
HCFC2,0.22791806,0.23139101,0.003472954,0.003472954
LRMDA,0.08961128,0.09308181,0.0034705326,0.0034705326
SLC35F6,2.362086,2.3586187,-0.0034673214,0.0034673214
ZNF365,0.101765506,0.09830309,-0.003462419,0.003462419
LRRC69,0.60692585,0.61038685,0.0034610033,0.0034610033
IKZF2,0.75018334,0.7536442,0.003460884,0.003460884
ADCY8,0.18438286,0.18092595,-0.0034569055,0.0034569055
HMX3,0.01553332,0.018989934,0.003456614,0.003456614
AMER2,0.0516031,0.05505825,0.0034551471,0.0034551471
PCDHGA2,0.080836125,0.08428866,0.003452532,0.003452532
SAMD3,0.32792854,0.32447827,-0.0034502745,0.0034502745
ZCCHC24,1.8384849,1.8350383,-0.003446579,0.003446579
TNIP1,1.5657219,1.5691682,0.0034463406,0.0034463406
XDH,0.20607188,0.20951736,0.0034454763,0.0034454763
TSPYL5,0.0011263621,0.0045713475,0.0034449855,0.0034449855
ACADS,0.27734703,0.28079104,0.003444016,0.003444016
COG1,1.5745232,1.5710799,-0.0034433603,0.0034433603
NICN1,1.4587961,1.4553542,-0.0034419298,0.0034419298
BAALC,0.08392707,0.08736899,0.003441915,0.003441915
BOLA1,0.14946564,0.14602642,-0.0034392178,0.0034392178
SLC16A7,0.20989627,0.213335,0.003438741,0.003438741
PPP1R14C,0.06032586,0.06376401,0.0034381524,0.0034381524
OLFML2B,0.53177387,0.5283374,-0.0034364462,0.0034364462
LDOC1,1.2065958,1.20316,-0.003435731,0.003435731
NOG,0.13613264,0.13956536,0.003432721,0.003432721
DNAH9,0.03905595,0.042485677,0.0034297258,0.0034297258
SLC66A2,0.534891,0.5314615,-0.003429532,0.003429532
FBP1,0.20505029,0.20847966,0.0034293681,0.0034293681
